,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
10,Fedexx Girl (Feat. 창모),사랑하는 사람들을 위한 지침서,BIBI,44,CHANGMO,2019-06-12,2NBAwbspdemK8N2lerVXDz,0.648,0.523,1,-9.368,1,0.064,0.0,0.134,0.352,90.995,209000,4,missing,missing
11,WHY Y (Feat. Tiger JK),WHY Y,BIBI,43,Tiger JK,2021-07-27,7k9rM0ZCWUn5Dg1t0vj0vi,0.687,0.745,1,-3.671,1,0.0413,0.0,0.172,0.493,99.999,186533,4,missing,missing
12,Pretty Ting (Feat. 김승민),사랑하는 사람들을 위한 지침서,BIBI,43,Kim Seungmin,2019-06-12,2sYSm57KSNxOF9gz3qWLMX,0.606,0.763,6,-5.504,0,0.274,0.0,0.113,0.417,165.986,175000,3,missing,missing
13,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,51,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0.0,0.209,0.502,170.94,175480,3,missing,missing
14,It's only mine,Seoul Check-in OST Part 4,CHUNG HA,27,CHUNG HA,2022-04-30,4NGt7PDTJE5rBWhU79kEBz,0.654,0.575,1,-5.57,0,0.0372,0.0,0.118,0.441,89.984,211083,4,missing,missing
15,My Lips Like Warm Coffee,My Lips Like Warm Coffee,CHUNG HA,44,Colde,2021-06-08,3BWTaW69km35u55PN4O1UH,0.692,0.71,4,-5.692,1,0.0795,4.38e-05,0.117,0.245,88.052,214120,4,missing,missing
16,Demente - Spanish Version,Demente (Spanish Version),CHUNG HA,45,Guaynaa,2021-03-17,4pBsmktr55rBxprHFXIFy8,0.802,0.852,7,-1.851,1,0.0604,0.000437,0.0539,0.685,100.029,163799,4,missing,missing
17,PLAY (feat. Changmo),Querencia,CHUNG HA,57,CHANGMO,2021-02-15,6UM5HKVVm1cjOQhUJB4Ft3,0.636,0.941,3,-0.792,0,0.101,2.68e-05,0.152,0.888,103.926,199524,4,missing,missing
18,Demente (feat. Guaynaa),Querencia,CHUNG HA,46,Guaynaa,2021-02-15,0NhHFXC06r5kK1rTUuOjxM,0.802,0.851,7,-1.756,1,0.0563,0.000335,0.0618,0.697,100.019,163799,4,missing,missing
19,Lemon (feat. Colde),Querencia,CHUNG HA,36,Colde,2021-02-15,0YxrpGXvAX6RsvdwRky6qN,0.736,0.927,0,-3.074,1,0.203,0.0,0.261,0.786,97.046,202446,4,missing,missing
20,BYULHARANG (160504 + 170607),Querencia,CHUNG HA,32,CHUNG HA,2021-02-15,0Ric2EfmVW0Xlz35v5ucMx,0.446,0.645,5,-4.166,1,0.0414,0.0,0.118,0.525,173.92,223102,4,missing,missing
21,Querencia (Epilogue),Querencia,CHUNG HA,26,CHUNG HA,2021-02-15,6WKRso2bBkl1GR5ChIT8K1,0.594,0.333,2,-9.985,1,0.161,0.607,0.0805,0.135,144.97,94313,4,missing,missing
22,Dream of You (with R3HAB),Querencia,CHUNG HA,61,R3HAB,2021-02-15,1d8Arh7PushRWWJRs41rSa,0.659,0.738,5,-3.894,0,0.0659,2.26e-06,0.114,0.615,117.081,192735,4,missing,missing
23,Gotta Go,Gotta Go,CHUNG HA,63,CHUNG HA,2019-01-02,1exnDFdC34GyBcaLt9ZJfX,0.531,0.83,3,-2.526,0,0.0446,0.0,0.0993,0.419,101.903,221813,4,missing,missing
24,그 끝에 그대,Hotel del Luna (Original Television Soundtrack) Pt.6,CHUNG HA,52,CHUNG HA,2019-08-03,7D8IxjdvFTYPcnCmNfzvNS,0.621,0.399,11,-5.803,1,0.0295,0.0,0.103,0.25,133.884,224284,4,missing,missing
25,Why Don’t You Know,Hands on Me,CHUNG HA,45,Nucksal,2017-06-07,3L6OalQDbdCS0Tg1kFccYn,0.703,0.923,9,-0.962,0,0.148,0.0,0.367,0.623,100.038,198420,4,missing,missing
26,You're In My Soul,Record of Youth (Original Television Soundtrack) Pt. 2,CHUNG HA,36,CHUNG HA,2020-09-15,2wQchESFUL4Scb30q4xCeL,0.676,0.847,2,-3.743,1,0.0541,0.0,0.111,0.411,115.977,208787,4,missing,missing
27,나의 그대,낭만닥터 김사부 2 (Original Television Soundtrack) Pt.8,CHUNG HA,38,CHUNG HA,2020-02-04,7EXTPBMNV9N2s3fUrqMC7i,0.502,0.301,11,-8.687,1,0.0324,0.0,0.107,0.376,119.719,220964,4,missing,missing
28,FAST,FAST,CHUNG HA,25,Mommy Son,2019-09-08,5qz2JLETV6S7nWakMB37ki,0.705,0.898,11,-2.745,0,0.085,1.42e-06,0.326,0.542,128.023,184200,4,missing,missing
29,NA YEOSS EU MYEON,[Vol.14] You Hee yul's Sketchbook 10th Anniversary Project : 6th Voice 'Sketchbook X CHUNG HA',CHUNG HA,0,CHUNG HA,2019-04-20,5VnJMPXdPc9p5arVZRHj8O,0.423,0.759,1,-2.689,1,0.0311,0.0,0.309,0.322,137.727,259885,4,missing,missing
30,A REUM DA UN I BYEOL,[Vol.13] You Hee yul's Sketchbook 10th Anniversary Project : 6th Voice 'Sketchbook X CHUNG HA',CHUNG HA,0,CHUNG HA,2019-04-13,5dcRsgrAojHRlS0BFpmbdj,0.654,0.648,0,-4.119,0,0.0299,0.0,0.122,0.449,115.011,205749,4,missing,missing
31,It’s You,"Where Stars Land, Pt. 1 (Original Television Soundtrack)",CHUNG HA,31,CHUNG HA,2018-10-08,4V0I40WRUwS3by62lZdsfM,0.584,0.709,7,-4.941,1,0.0363,0.0,0.208,0.26,107.919,202905,4,missing,missing
32,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)","IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",Keith Ape,49,Father,2015-07-27,0gpFiquPvir7e3RrM4kii9,0.787,0.743,1,-4.206,1,0.0642,0.0,0.294,0.454,102.076,300000,4,missing,missing
33,WASHED (PROD. BY SHAWN WASABI),CAFE BLEU,Dumbfoundead,37,Dumbfoundead,2018-11-02,5IjgA0yIKV6wz6xBU4d091,0.829,0.485,8,-9.361,1,0.275,7.76e-06,0.104,0.647,145.029,188000,4,missing,missing
34,Rent Free (Feat. Jeff Bernat),Rent Free (Feat. Jeff Bernat),Dumbfoundead,32,Jeff Bernat,2021-04-29,2J3ZzY2asBfkNXkx5jJmjG,0.841,0.768,6,-8.262,0,0.283,0.0,0.126,0.865,138.987,167607,4,missing,missing
